Account Designator,Posted Date,Serial Number,"Description",Amount,CR/DR
Loan            0002,02/14/18,0000000000,"PRINCIPAL ADVANCE",000064727.26,DR
Loan            0002,02/15/18,0000000000,"SWEEP DEBIT",000000501.84,DR
Loan            0002,02/16/18,0000000000,"SWEEP CREDIT",000065229.10,CR
Loan            0002,02/20/18,0000000000,"CREDIT",000000024.36,CR
Loan            0002,02/21/18,0000000000,"SWEEP DEBIT",000035931.02,DR
Loan            0002,02/22/18,0000000000,"DEBIT",000003384.49,DR
Loan            0002,02/27/18,0000000000,"PRINCIPAL ADVANCE",000015000.00,DR
Loan            0002,02/27/18,0000000000,"SWEEP DEBIT",000015073.07,DR
Loan            0002,02/28/18,0000000000,"DEBIT",000019305.29,DR
Loan            0002,02/28/18,0000000000,"TELEPHONE TRANSFER FROM DDA",000000107.79,CR
Loan            0002,03/01/18,0000000000,"SWEEP DEBIT",000001357.29,DR
Loan            0002,03/06/18,0000000000,"SWEEP CREDIT",000006018.42,CR
Loan            0002,03/07/18,0000000000,"SWEEP DEBIT",000000755.25,DR
Loan            0002,03/08/18,0000000000,"DEBIT",000001505.67,DR
Loan            0002,03/13/18,0000000000,"SWEEP CREDIT",000027645.59,CR
Loan            0002,03/14/18,0000000000,"SWEEP DEBIT",000000677.48,DR
Loan            0002,03/15/18,0000000000,"DEBIT",000005040.38,DR
Loan            0002,03/19/18,0000000000,"SWEEP CREDIT",000011434.31,CR
Loan            0002,03/23/18,0000000000,"SWEEP DEBIT",000009589.48,DR
Loan            0002,03/26/18,0000000000,"DEBIT",000000056.53,DR
Loan            0002,03/27/18,0000000000,"DEBIT",000003801.11,DR
Loan            0002,03/28/18,0000000000,"DEBIT",000000350.00,DR
Loan            0002,03/29/18,0000000000,"DEBIT",000002392.28,DR
Loan            0002,04/02/18,0000000000,"SWEEP CREDIT",000069354.05,CR
Loan            0002,04/03/18,0000000000,"CREDIT",000000169.34,CR
Loan            0002,04/09/18,0000000000,"SWEEP DEBIT",000004870.31,DR
Loan            0002,04/10/18,0000000000,"DEBIT",000018141.60,DR
Loan            0002,04/12/18,0000000000,"DEBIT",000004648.06,DR
Loan            0002,04/13/18,0000000000,"DEBIT",000003784.47,DR
Loan            0002,04/17/18,0000000000,"DEBIT",000002716.48,DR
Loan            0002,04/18/18,0000000000,"SWEEP CREDIT",000031440.95,CR
Loan            0002,04/20/18,0000000000,"CREDIT",000001500.00,CR
Loan            0002,04/26/18,0000000000,"SWEEP DEBIT",000003126.56,DR
Loan            0002,04/27/18,0000000000,"DEBIT",000003342.70,DR
Loan            0002,04/30/18,0000000000,"DEBIT",000002828.45,DR
Loan            0002,05/01/18,0000000000,"DEBIT",000000297.03,DR
Loan            0002,05/02/18,0000000000,"DEBIT",000011405.51,DR
Loan            0002,05/03/18,0000000000,"DEBIT",000002912.42,DR
Loan            0002,05/03/18,0000000000,"INTERNET TRANSFER FROM DDA-INT",000000004.68,CR
Loan            0002,05/04/18,0000000000,"SWEEP DEBIT",000000215.11,DR
Loan            0002,05/07/18,0000000000,"DEBIT",000006442.77,DR
Loan            0002,05/08/18,0000000000,"DEBIT",000000300.00,DR
Loan            0002,05/09/18,0000000000,"DEBIT",000000950.00,DR
Loan            0002,05/10/18,0000000000,"DEBIT",000001281.26,DR
Loan            0002,05/11/18,0000000000,"DEBIT",000000268.51,DR
Loan            0002,05/15/18,0000000000,"DEBIT",000025077.52,DR
Loan            0002,05/16/18,0000000000,"DEBIT",000000123.09,DR
Loan            0002,05/17/18,0000000000,"DEBIT",000007516.98,DR
Loan            0002,05/18/18,0000000000,"DEBIT",000000500.00,DR
Loan            0002,05/24/18,0000000000,"DEBIT",000003159.36,DR
Loan            0002,05/25/18,0000000000,"SWEEP CREDIT",000010750.10,CR
Loan            0002,05/30/18,0000000000,"SWEEP DEBIT",000000097.81,DR
Loan            0002,05/31/18,0000000000,"DEBIT",000001887.51,DR
Loan            0002,06/04/18,0000000000,"DEBIT",000006086.05,DR
Loan            0002,06/06/18,0000000000,"DEBIT",000003929.16,DR
Loan            0002,06/07/18,0000000000,"DEBIT",000002577.92,DR
Loan            0002,06/08/18,0000000000,"SWEEP CREDIT",000008470.39,CR
Loan            0002,06/15/18,0000000000,"SWEEP DEBIT",000000399.91,DR
Loan            0002,06/20/18,0000000000,"DEBIT",000006618.66,DR
Loan            0002,06/21/18,0000000000,"DEBIT",000003229.15,DR
Loan            0002,06/25/18,0000000000,"DEBIT",000000325.00,DR
Loan            0002,06/27/18,0000000000,"DEBIT",000002000.00,DR
Loan            0002,07/03/18,0000000000,"DEBIT",000002593.35,DR
Loan            0002,07/05/18,0000000000,"DEBIT",000003882.33,DR
Loan            0002,07/09/18,0000000000,"TELEPHONE TRANSFER ADVANCE",000002351.34,DR
Loan            0002,07/09/18,0000000000,"SWEEP DEBIT",000000900.00,DR
Loan            0002,07/09/18,0000000000,"REGULAR PAYMENT-WITH COMPUTER",000000453.43,CR
Loan            0002,07/10/18,0000000000,"SWEEP CREDIT",000003070.50,CR
Loan            0002,07/19/18,0000000000,"SWEEP DEBIT",000001239.38,DR
Loan            0002,07/20/18,0000000000,"DEBIT",000000799.68,DR
Loan            0002,07/23/18,0000000000,"DEBIT",000000501.24,DR
Loan            0002,07/24/18,0000000000,"SWEEP CREDIT",000005000.00,CR
Loan            0002,07/26/18,0000000000,"CREDIT",000000376.55,CR
Loan            0002,08/02/18,0000000000,"SWEEP DEBIT",000001681.43,DR
Loan            0002,08/03/18,0000000000,"DEBIT",000004681.84,DR
Loan            0002,08/06/18,0000000000,"SWEEP CREDIT",000004572.35,CR
Loan            0002,08/10/18,0000000000,"CREDIT",000000534.51,CR
Loan            0002,09/05/18,0000000000,"SWEEP DEBIT",000002120.38,DR
Loan            0002,09/07/18,0000000000,"DEBIT",000000002.40,DR
Loan            0002,09/21/18,0000000000,"INTEREST ONLY PAYMENT NO DATE",000000513.39,CR
Loan            0002,09/26/18,0000000000,"SWEEP DEBIT",000000953.03,DR
Loan            0002,09/27/18,0000000000,"SWEEP DEBIT",000000021.00,DR
